update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
100,3200,-176.3307346938776,57.47833725038401,0.2352007690990742,1.0,4.666666666666667,29.666666666666668,-1256.1463333333324,-0.2954416871070862,4.602754592895508,1.4302287101745605
200,6400,-157.62220000000002,47.388847909199505,0.2551420331081348,1.0,2.0,32.333333333333336,-1043.900999999998,-0.06773816794157028,3.481835126876831,1.6595567464828491
300,9600,-87.77602000000005,2.1290537657657826,0.8917244008714597,0.949981981981982,0.0,120.33333333333333,1517.7876666666718,-0.2632526457309723,20.31938362121582,2.41399884223938
400,12800,87.02268,1.6622063869129846,0.9181978895062318,0.9264337836595903,0.0,122.0,1581.0163333333346,-0.0775461345911026,5.22283411026001,1.26078200340271
500,16000,407.6929800000001,1.4194870876308576,0.930799830069903,0.9497995636797617,0.0,125.0,1665.5766666666677,-0.08154027909040451,4.765875816345215,1.366057276725769
600,19200,631.9192000000003,1.3390152653899368,0.9352511938617775,0.9498219483000195,0.0,125.33333333333333,1680.7140000000006,-0.21709638833999634,7.175234794616699,1.6443291902542114
700,22400,862.4620400000002,1.0714105397232652,0.9524992472146944,0.9179201313665519,0.0,126.33333333333333,1707.6323333333346,-0.2311415672302246,5.59422492980957,1.5060253143310547
800,25600,975.0399000000004,1.125187667887684,0.9474844988619417,0.9453077137287664,0.0,126.66666666666667,1722.787333333333,-0.11998222768306732,6.010733127593994,0.7554805874824524
900,28800,1245.9026000000003,1.1343221273327837,0.9483674648448236,0.927401344568771,0.0,126.66666666666667,1708.4303333333337,0.2639824450016022,4.429527759552002,1.1428875923156738
1000,32000,1301.4420200000006,1.0215712896683533,0.9554093643281849,0.9231408573928258,0.0,126.33333333333333,1716.511333333334,-0.3460513949394226,1.5812857151031494,1.5534560680389404
1100,35200,1315.6617800000004,1.5169134273592626,0.9502710027100271,0.8996756597375793,1.0,126.0,1634.9766666666674,0.041355349123477936,4.8777666091918945,1.0189629793167114
1200,38400,1157.6419000000005,0.8451602278985207,0.9652804232804234,0.9284816650428546,0.0,128.66666666666666,1774.1410000000012,-0.030019603669643402,2.966453790664673,0.9129419922828674
1250,40000,1146.2515400000004,0.9958484181746288,0.9577176596886742,0.9103182625930072,0.0,127.0,1721.5920000000006,-0.02675064653158188,5.262243747711182,1.0636523962020874
