step,return,success_rate,mean_steps
5000,-2913.7512087831246,0.0,133.4
10000,-1277.374559312551,0.2,117.2
15000,-58.55899486274043,0.0,250.0
20000,-58.55844465759348,0.0,250.0
25000,-58.55842528753658,0.0,250.0
30000,-58.55842414573609,0.0,250.0
35000,-58.55842400358366,0.0,250.0
40000,-58.558423929096804,0.0,250.0
45000,-58.558423929096804,0.0,250.0
50000,-58.558423929096804,0.0,250.0
55000,-58.558423929096804,0.0,250.0
60000,-58.558423929096804,0.0,250.0
65000,-58.558423929096804,0.0,250.0
70000,-58.558423929096804,0.0,250.0
75000,-58.558423929096804,0.0,250.0
80000,-58.558423929096804,0.0,250.0
85000,-58.558423929096804,0.0,250.0
90000,-58.558423929096804,0.0,250.0
95000,-58.558423929096804,0.0,250.0
100000,-58.558423929096804,0.0,250.0
105000,-58.558423929096804,0.0,250.0
110000,-58.558423929096804,0.0,250.0
115000,-58.558423929096804,0.0,250.0
120000,-58.558423929096804,0.0,250.0
125000,-58.558423929096804,0.0,250.0
130000,-58.558423929096804,0.0,250.0
135000,-58.558423929096804,0.0,250.0
140000,-58.558423929096804,0.0,250.0
145000,-58.558423929096804,0.0,250.0
150000,-58.558423929096804,0.0,250.0
155000,-58.558423929096804,0.0,250.0
160000,-58.558423929096804,0.0,250.0
165000,-58.558423929096804,0.0,250.0
170000,-58.558423929096804,0.0,250.0
175000,-58.558423929096804,0.0,250.0
180000,-58.558423929096804,0.0,250.0
185000,-58.558423929096804,0.0,250.0
190000,-58.558423929096804,0.0,250.0
195000,-58.558423929096804,0.0,250.0
200000,-58.558423929096804,0.0,250.0
205000,-58.558423929096804,0.0,250.0
210000,-58.558423929096804,0.0,250.0
215000,-58.558423929096804,0.0,250.0
220000,-58.558423929096804,0.0,250.0
225000,-58.558423929096804,0.0,250.0
230000,-58.558423929096804,0.0,250.0
235000,-58.558423929096804,0.0,250.0
240000,-58.558423929096804,0.0,250.0
245000,-58.558423929096804,0.0,250.0
250000,-58.558423929096804,0.0,250.0
