episode,step,episode_return,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
0,51,-223.56599999999997,0.99878875,,41,8,2,45,0
1,120,-30.22899999999997,0.99715,,45,11,13,63,0
2,206,-170.1790000000001,0.9951075,,55,14,17,79,0
3,277,-186.439,0.99342125,,43,15,13,63,0
4,327,-398.08899999999994,0.99223375,,40,6,4,45,0
5,408,-183.5,0.99031,,48,23,10,70,0
6,459,-116.035,0.98909875,,41,7,3,46,0
7,513,-521.795,0.98781625,,44,7,3,51,0
8,571,-124.70600000000007,0.98643875,,43,7,8,55,0
9,646,-261.05000000000007,0.9846575,,46,17,12,69,0
10,732,31.768999999999934,0.982615,,51,20,15,77,0
11,779,-134.71099999999996,0.98149875,,37,7,3,44,0
12,833,-165.796,0.98021625,,41,7,6,49,0
13,906,-235.2729999999999,0.9784825,,49,11,13,64,0
14,964,-85.29,0.977105,,41,9,8,53,0
15,1033,34.51399999999987,0.97546625,14.330140113830566,44,17,8,62,9
16,1136,-113.2780000000001,0.97302,10.82990837097168,52,37,14,92,35
17,1229,-311.7270000000001,0.97081125,10.746566772460938,59,20,14,82,58
18,1300,-101.93000000000004,0.969125,11.089362144470215,48,11,12,67,76
19,1385,-26.66300000000009,0.9671062500000001,14.057690620422363,52,16,17,75,97
20,1454,19.54000000000002,0.9654675,14.099634170532227,45,11,13,66,114
21,1518,-378.81200000000007,0.9639475,13.155468940734863,49,10,5,58,130
22,1610,-308.751,0.9617625,14.374795913696289,56,21,15,80,153
23,1671,-378.879,0.96031375,18.20195770263672,43,11,7,56,168
24,1747,-42.92599999999997,0.95850875,14.544731140136719,44,20,12,68,187
25,1836,-295.1320000000001,0.956395,13.13575267791748,54,15,20,79,210
26,1898,-136.5440000000001,0.9549225,7.9307990074157715,40,12,10,59,225
27,1962,-340.374,0.9534025,13.272644996643066,43,11,10,60,241
28,2007,-147.881,0.95233375,15.032209396362305,39,3,3,43,252
29,2086,41.31700000000002,0.9504575,13.530912399291992,50,16,13,68,272
30,2177,-465.4199999999999,0.94829625,12.824908256530762,55,20,16,79,295
31,2246,-240.28199999999998,0.9466575,12.486089706420898,50,13,6,63,312
32,2341,-577.152,0.94440125,9.466867446899414,57,25,13,80,336
33,2419,-71.64400000000005,0.94254875,11.183114051818848,52,16,10,71,355
34,2489,-60.27499999999997,0.94088625,13.398629188537598,40,13,17,66,373
35,2568,-90.68800000000022,0.93901,13.35011100769043,48,14,17,72,393
36,2637,-161.32700000000006,0.93737125,12.780427932739258,45,11,13,62,410
37,2700,-181.846,0.935875,13.913741111755371,43,12,8,55,426
38,2770,-474.9360000000001,0.9342125,9.025196075439453,49,13,8,61,443
39,2877,-26.013999999999854,0.93167125,8.909573554992676,65,28,14,92,470
40,2939,-160.16000000000014,0.93019875,11.466458320617676,46,11,5,58,485
41,3027,-285.79699999999985,0.92810875,14.236175537109375,51,18,19,80,507
42,3119,-904.8449999999998,0.92592375,8.489521026611328,54,23,15,87,530
43,3198,28.56899999999989,0.9240475,10.782899856567383,46,12,21,72,550
44,3323,307.1619999999999,0.92107875,10.66978931427002,72,29,24,111,581
45,3381,-49.42000000000004,0.91970125,13.833791732788086,41,8,9,57,596
46,3477,-118.79200000000006,0.91742125,9.818960189819336,49,33,14,87,620
47,3571,128.51100000000002,0.91518875,13.063718795776367,63,18,13,80,643
48,3639,-429.73699999999997,0.91357375,13.34664249420166,47,9,12,65,660
49,3725,-379.74700000000036,0.91153125,10.970216751098633,54,20,12,78,682
50,3784,-221.8759999999999,0.91013,8.808328628540039,36,12,11,49,697
51,3861,-46.884999999999934,0.9083012500000001,10.313186645507812,50,13,14,71,716
52,3965,-206.28800000000007,0.90583125,9.438676834106445,60,25,19,90,742
53,4040,-149.7119999999999,0.90405,11.143144607543945,48,17,10,64,761
54,4094,-285.97800000000007,0.9027675000000001,9.620889663696289,40,8,6,49,774
55,4178,169.0089999999998,0.9007725,14.999687194824219,57,16,11,73,795
56,4265,-161.31500000000005,0.89870625,11.962158203125,57,17,13,76,817
57,4346,-543.758,0.8967825,9.426512718200684,55,17,9,70,837
58,4402,-326.99300000000005,0.8954525,12.71904468536377,44,9,3,50,851
59,4465,-257.34099999999995,0.89395625,9.678657531738281,46,9,8,58,867
60,4526,-225.049,0.8925075,10.399757385253906,46,12,3,56,882
61,4569,-110.35500000000008,0.89148625,13.565315246582031,33,4,6,41,893
62,4634,28.301000000000016,0.8899425,11.664022445678711,45,11,9,55,909
63,4702,7.354999999999848,0.8883275,7.795166492462158,48,16,4,60,926
64,4769,-427.0719999999999,0.88673625,7.150124549865723,46,11,10,59,943
65,4840,-374.20300000000003,0.88505,8.224886894226074,50,12,9,63,961
