episode,step,episode_return,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
0,51,-223.56599999999997,0.99878875,,41,8,2,45,0
1,120,-30.22899999999997,0.99715,,45,11,13,63,0
2,206,-170.1790000000001,0.9951075,,55,14,17,79,0
3,277,-186.439,0.99342125,,43,15,13,63,0
4,327,-398.08899999999994,0.99223375,,40,6,4,45,0
5,408,-183.5,0.99031,,48,23,10,70,0
6,459,-116.035,0.98909875,,41,7,3,46,0
7,513,-521.795,0.98781625,,44,7,3,51,0
8,571,-124.70600000000007,0.98643875,,43,7,8,55,0
9,646,-261.05000000000007,0.9846575,,46,17,12,69,0
10,732,31.768999999999934,0.982615,,51,20,15,77,0
11,779,-134.71099999999996,0.98149875,,37,7,3,44,0
12,833,-165.796,0.98021625,,41,7,6,49,0
13,906,-235.2729999999999,0.9784825,,49,11,13,64,0
14,964,-85.29,0.977105,,41,9,8,53,0
15,1033,34.51399999999987,0.97546625,1.2375515699386597,44,17,8,62,9
16,1136,-113.2780000000001,0.97302,0.8913829326629639,52,37,14,92,35
17,1228,-320.16200000000003,0.970835,0.9104803800582886,56,21,15,77,58
18,1301,-482.88800000000015,0.96910125,1.0036276578903198,45,12,16,67,76
19,1388,-685.346,0.967035,1.6135424375534058,57,18,12,75,98
20,1463,-117.58400000000007,0.96525375,1.1008692979812622,49,19,7,66,116
21,1527,-172.933,0.9637337500000001,1.4451310634613037,44,12,8,59,132
22,1607,-839.5870000000001,0.96183375,0.8583517074584961,52,19,9,72,152
23,1676,-170.36400000000003,0.960195,0.7710893154144287,46,13,10,66,170
24,1773,-125.74800000000008,0.95789125,1.6866174936294556,54,21,22,85,194
25,1838,-296.37399999999997,0.9563475,1.0891046524047852,43,17,5,60,210
26,1891,-299.829,0.95508875,1.2174094915390015,37,12,4,49,223
27,1972,-192.75799999999998,0.953165,1.2755075693130493,52,18,11,73,244
28,2033,-743.7920000000001,0.95171625,1.0422642230987549,49,8,4,56,259
29,2124,121.07699999999991,0.949555,1.0286471843719482,53,17,21,79,282
30,2212,-115.42700000000006,0.947465,0.9074223041534424,59,16,13,78,304
31,2288,-439.09600000000006,0.94566,1.224387764930725,52,14,10,67,323
32,2372,-531.127,0.943665,1.220800518989563,56,17,11,73,344
33,2446,-132.6949999999999,0.9419075,1.232926607131958,49,15,10,65,362
34,2522,-197.85500000000002,0.9401025000000001,0.9380183219909668,48,17,11,70,381
35,2625,-327.891,0.93765625,1.1609303951263428,57,22,24,88,407
36,2706,-301.81700000000006,0.9357325,1.3826955556869507,46,20,15,71,427
37,2772,-131.92700000000002,0.934165,1.2084547281265259,42,14,10,62,444
38,2846,-403.68399999999997,0.9324075000000001,1.0877258777618408,51,14,9,63,462
39,2946,-478.703,0.9300325,0.8617922067642212,62,25,13,91,487
40,3020,6.263000000000019,0.928275,1.144823670387268,54,15,5,68,506
41,3108,-177.15699999999987,0.926185,0.9798680543899536,60,19,9,76,528
42,3177,-233.68000000000006,0.92454625,1.3927489519119263,45,15,9,65,545
43,3244,-227.67299999999997,0.922955,1.0143355131149292,46,10,11,58,562
44,3351,64.19800000000009,0.92041375,0.7194185256958008,66,24,17,91,588
45,3433,-231.90999999999997,0.91846625,0.9425593018531799,50,16,16,74,609
46,3530,-854.7950000000001,0.9161625,0.7141709327697754,64,22,11,85,633
47,3616,-67.27300000000008,0.91412,0.952984094619751,57,16,13,75,655
48,3701,-614.042,0.91210125,0.7028008699417114,57,15,13,74,676
49,3785,-315.326,0.91010625,0.731049120426178,52,17,15,76,697
50,3861,-340.578,0.9083012500000001,0.7253329157829285,53,11,12,68,716
51,3946,-354.226,0.9062825,0.9506352543830872,50,20,15,75,737
52,4043,-8.240000000000094,0.90397875,0.8074624538421631,57,20,20,88,761
53,4123,-109.27899999999994,0.90207875,1.5115840435028076,49,18,13,70,781
54,4195,-152.86900000000003,0.90036875,1.1201789379119873,42,16,14,62,799
55,4273,-198.5340000000001,0.89851625,0.810029149055481,51,15,12,69,819
56,4353,-171.9580000000001,0.89661625,0.9400899410247803,49,14,17,74,839
57,4418,-412.68899999999996,0.8950724999999999,0.5477390289306641,45,9,11,61,855
58,4469,-569.6770000000001,0.89386125,0.9323745369911194,40,6,5,46,868
59,4517,-174.05799999999996,0.89272125,1.4439113140106201,38,6,4,45,880
60,4581,-352.2900000000001,0.89120125,1.219653844833374,46,12,6,56,896
61,4638,-211.68199999999996,0.8898475,0.863080620765686,42,11,4,50,910
62,4701,-318.62499999999994,0.88835125,0.7700583934783936,44,10,9,58,926
63,4755,-154.53799999999995,0.8870687500000001,1.3277952671051025,40,9,5,49,939
64,4811,-294.948,0.88573875,1.0285755395889282,42,8,6,49,953
