episode,step,episode_return,cost_per_order,delivered,dropped,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
0,51,-223.56599999999997,21.784866666666662,30,16,0.99878875,,41,8,2,45,0
1,120,-30.22899999999997,15.288542857142852,35,8,0.99715,,45,11,13,63,0
2,206,-170.1790000000001,18.55575555555555,45,28,0.9951075,,55,14,17,79,0
3,277,-186.439,19.89454285714285,35,19,0.99342125,,43,15,13,63,0
4,327,-398.08899999999994,28.208586206896545,29,27,0.99223375,,40,6,4,45,0
5,408,-183.5,19.44615384615384,39,23,0.99031,,48,23,10,70,0
6,459,-116.035,18.700166666666664,30,10,0.98909875,,41,7,3,46,0
7,513,-521.795,30.680156249999996,32,38,0.98781625,,44,7,3,51,0
8,571,-94.12899999999999,17.938406249999996,32,11,0.98643875,,39,9,10,56,0
9,647,-409.83299999999997,25.686472222222218,36,34,0.98463375,,45,19,12,70,0
10,747,-384.85000000000014,22.340816326530607,49,45,0.98225875,,60,25,15,84,0
11,808,-234.39799999999997,21.26708571428571,35,22,0.98081,,43,13,5,56,0
12,867,-220.69200000000004,21.533696969696965,33,20,0.97940875,,42,9,8,54,0
13,954,-438.773,23.543530612244894,49,49,0.9773425,,57,16,14,75,0
14,1033,-23.963000000000044,15.226487179487176,39,12,0.97546625,4.189307689666748,48,18,13,70,8
15,1106,-192.07700000000006,18.933488888888885,45,29,0.9737325,3.783811092376709,55,11,7,64,26
16,1189,91.68599999999998,12.800090909090905,44,10,0.97176125,3.7048487663269043,53,19,11,76,47
17,1299,208.1670000000002,10.690999999999994,53,10,0.96914875,2.671285390853882,62,27,21,98,74
18,1364,-1.534000000000006,14.76821621621621,37,9,0.967605,2.3137683868408203,45,9,11,61,91
19,1433,-698.0310000000001,32.9723947368421,38,56,0.96596625,3.018831491470337,48,13,8,62,108
20,1501,-42.05299999999996,15.88173809523809,42,17,0.96435125,1.7706291675567627,51,15,2,61,125
21,1573,-168.52499999999984,18.960624999999993,40,23,0.96264125,2.0440094470977783,52,10,10,63,143
22,1647,-48.49099999999996,16.095171428571422,35,10,0.96088375,1.7742931842803955,44,14,16,66,161
23,1717,-182.37100000000004,20.741033333333327,30,14,0.95922125,2.14280366897583,39,17,14,67,179
24,1798,48.25299999999993,13.593868421052626,38,7,0.9572975,1.9579157829284668,46,17,18,72,199
25,1885,-147.13599999999994,18.548649999999995,40,22,0.95523125,2.0881400108337402,49,19,19,80,221
26,1950,-165.95399999999995,20.56657142857142,28,11,0.9536875,1.9409527778625488,41,15,9,60,237
27,2015,-251.3819999999999,22.696624999999994,32,21,0.95214375,3.0382020473480225,41,15,9,59,253
28,2063,-391.88000000000005,26.834193548387095,31,28,0.95100375,3.3307485580444336,40,6,2,43,265
29,2168,128.057,12.575842105263156,57,20,0.94851,2.355487585067749,66,27,12,88,292
30,2247,-93.67800000000003,17.141743589743584,39,17,0.94663375,2.1652493476867676,48,16,15,67,311
31,2302,-49.38300000000004,16.541031249999996,32,8,0.9453275,2.3135986328125,41,7,7,53,325
32,2379,-313.23499999999996,22.90064102564102,39,32,0.94349875,3.0582571029663086,47,19,11,66,344
33,2503,-31.972999999999956,15.431016129032253,62,36,0.94055375,1.7291213274002075,72,27,25,108,375
34,2585,-49.440999999999946,15.958073170731701,41,16,0.93860625,1.6550824642181396,51,15,16,71,396
35,2672,-499.52699999999993,26.65207142857142,42,47,0.93654,2.0698530673980713,50,23,14,76,418
36,2752,112.982,12.306380952380948,42,7,0.93464,1.829730749130249,50,15,15,72,438
37,2819,-501.45300000000003,29.30508823529411,34,39,0.93304875,2.0552244186401367,44,15,8,61,454
