method,step,loss,mean_q,max_q
bc,750,2.2071597576141357,5.840173244476318,10.484771728515625
bc,1500,2.069463014602661,5.349175453186035,10.096321105957031
bc,2250,2.0824875831604004,5.145110130310059,9.159059524536133
bc,3000,2.099639415740967,4.85128116607666,9.677352905273438
bc,3750,2.0222010612487793,4.531679153442383,9.385780334472656
bc,4500,1.9971405267715454,4.354750633239746,8.981184005737305
bc,5250,2.0558621883392334,4.276655197143555,8.920101165771484
bc,6000,2.082937717437744,4.181453704833984,8.362475395202637
bc,6750,1.9136825799942017,3.9848053455352783,7.9991912841796875
bc,7500,2.0536975860595703,3.913294792175293,8.538949966430664
bc,8250,1.9744309186935425,3.803971767425537,8.15372371673584
bc,9000,1.9135297536849976,3.8034987449645996,8.323833465576172
bc,9750,1.8212378025054932,3.6522703170776367,7.43629264831543
bc,10500,1.9548954963684082,3.699608087539673,8.875121116638184
bc,11250,1.9349825382232666,3.6785216331481934,7.727652072906494
bc,12000,1.884689211845398,3.5744314193725586,8.771929740905762
bc,12750,1.8186479806900024,3.477191686630249,8.280559539794922
bc,13500,1.6639772653579712,3.4882092475891113,8.190442085266113
bc,14250,1.785193920135498,3.5346896648406982,7.956286430358887
bc,15000,1.8656865358352661,3.518955945968628,7.853384017944336
naive,2000,447.72796630859375,16.488950729370117,60.64061737060547
naive,4000,330.7294006347656,41.142791748046875,129.24349975585938
naive,6000,304.48114013671875,79.30288696289062,225.07467651367188
naive,8000,408.49700927734375,128.54635620117188,337.0628662109375
naive,10000,373.52203369140625,183.71194458007812,467.5513000488281
naive,12000,614.171875,217.40023803710938,533.0684814453125
naive,14000,353.32373046875,273.6396484375,633.7513427734375
naive,16000,575.3291015625,345.1323547363281,772.4324951171875
naive,18000,801.2901000976562,475.57965087890625,1061.827880859375
naive,20000,875.7100830078125,572.1259765625,1209.5673828125
naive,22000,1832.7659912109375,695.2888793945312,1435.08642578125
naive,24000,2092.78369140625,949.0625610351562,2044.4395751953125
naive,26000,3037.418212890625,1150.388916015625,2429.5185546875
naive,28000,5493.02001953125,1426.1845703125,2932.3515625
naive,30000,5665.435546875,1681.305419921875,3309.658447265625
naive,32000,7782.44970703125,2048.93798828125,3919.06298828125
naive,34000,8535.498046875,2407.718017578125,4512.84375
naive,36000,11090.2275390625,2854.84716796875,5252.6962890625
naive,38000,16673.6328125,3337.582763671875,6008.91796875
naive,40000,20536.958984375,3868.08837890625,6785.29443359375
cql,2000,463.208740234375,8.790233612060547,49.953041076660156
cql,4000,358.0957336425781,19.140199661254883,81.00973510742188
cql,6000,299.6634216308594,31.733747482299805,113.66268920898438
cql,8000,367.7607727050781,44.82389831542969,141.65985107421875
cql,10000,360.4620361328125,59.883705139160156,173.09494018554688
cql,12000,513.9100341796875,72.18267059326172,202.56210327148438
cql,14000,273.7769470214844,85.69139862060547,235.76358032226562
cql,16000,441.50823974609375,103.83767700195312,266.9410400390625
cql,18000,304.40240478515625,122.01004028320312,298.95623779296875
cql,20000,418.1818542480469,139.91458129882812,319.7244873046875
cql,22000,627.5340576171875,161.81265258789062,340.98858642578125
cql,24000,502.3435974121094,184.6907196044922,361.74005126953125
cql,26000,486.10858154296875,210.85699462890625,397.7622375488281
cql,28000,752.5586547851562,234.6005096435547,433.34991455078125
cql,30000,425.1186218261719,266.3609924316406,502.2454528808594
cql,32000,643.2378540039062,300.766845703125,559.3125
cql,34000,544.65625,335.7646484375,631.39892578125
cql,36000,600.8046875,378.910400390625,727.6673583984375
cql,38000,573.605224609375,420.9748229980469,789.5689697265625
cql,40000,663.0133666992188,455.15087890625,839.10546875
